
ID;Name
4560-1;Karniškės
1673-1;Keidai
4533-1;Kepurlaukiai
4549-1;Kinkiai
4526-1;Kivyliai
4550-1;Klaišiai
4523-1;Klykoliai
4537-1;Klyšiai
1682-1;Kruopiai
4528-1;Latveliai
4543-2;Laumenai
4543-1;Laumėnai
4530-1;Mažuliai
4557-1;Menčiai
4563-1;Mykolaičiai
1671-1;Narčiai
1674-1;Naujoji Akmenė
4505-1;Naujosios Akmenės oro uostas
4546-1;Pagerviai
1672-1;Pakalniškiai
1623-1;Papilė
1675-1;Pašakarniai
4525-1;Pipiriai
1620-1;Purviai
4534-1;Pušynas
4568-1;Račiai
4515-1;Raikiškės
4515-2;Rakiškės
4519-1;Ramučiai
4509-1;Rimšai
4547-1;Rudeliškiai
4558-1;Sablauskiai
4556-1;Sablauskų tvenkinys
4542-1;Šapnagiai
4564-1;Saveikiai
1625-1;Šemetaičiai
4513-1;Šiaudinė
4508-1;Šiliškės
1677-1;Smiltinė
4545-1;Spaigiai
5974-1;Stipirkių kapinės
4522-1;Suginčiai
4521-1;Suginčių parduotuvė
4517-1;Sukančiai
4518-1;Tryškiai
1621-1;Venta
4507-1;Ventos vaikų globos namai
1622-1;Vienrankiai
4561-1;Viliočiai
208-1;AB "Skirnuva"
212-1;Alovės kryžkelė
219-1;Andriūnai
200-1;Angininkai
3841-1;Balbieriškio kryžkelė
195-1;Balkūnai
260-1;Beržinė
272-1;Bundžiai
385-1;Butrimiškiai
3832-1;Butrimiškiai II
237-1;Butrimonys
268-1;Čižiūnai
217-1;Daugai
218-1;Doškonys
210-1;Druskininkų sankryža
3836-1;Dubis
384-1;Dušnionys
239-1;Eičiūnai
241-1;Eigirdonys
130-1;Geištarai
121-1;Geniai
266-1;Gervėnai
204-1;Giluičiai
216-1;Gilūšis
236-1;Greikonys
235-1;Griškonys
3826-1;Jovaišonys
269-1;Junčionys
128-1;Jurgiškiai
229-1;Jurkonys
3833-1;Kabinės
203-1;Kaimynai Alytaus r.
3838-1;Kalesninkai
209-1;Kaniūkai Alytaus r.
232-1;Karvelninkai
120-1;Kelmanonys
3010-1;Klepočiai
3842-1;Krokialaukis
231-1;Kružiūnai
194-1;Kurnėnai Alytaus r.
264-1;Lelionys
192-1;Likiškėliai
381-1;Lydekininkai
193-1;Luksnėnai
380-1;Makniūnai
134-1;Mankūnai
131-1;Maslaučiškės
201-1;Mergalaukis
383-1;Meškasalis
213-1;Mieliūnai
215-1;Miesčionka
265-1;Miglinasai
3829-1;Miklusėnai
3825-1;Mikutiškiai
3837-1;N.Ūdrija
230-1;Norgeliškės
238-1;Olendernė
3834-1;Pakašavas
3827-1;Panemuninkai
270-1;Pavarėnys
3840-1;Peršekė
199-1;Peršėkininkai
378-1;Pieriškiai
273-1;Pivašiūnai
214-1;Pocelonys
196-1;Pošnia Alytaus r.
386-1;Poteronys
211-1;Poteronys Alovės sen.
2490-1;Punia
3828-1;Punios girininkija
233-1;Punios kryžkelė
133-1;Pupasodis
127-1;Radžiūnai
123-1;Raudonikiai
377-1;Ryliškiai
124-1;Rutka
122-1;Sabališkės
197-1;Santaika
379-1;Savilionys
234-1;Silgionys
202-1;Simnas
267-1;Skraičionys
275-1;Statkiškės
274-1;Sudvariškės
262-1;Takniškiai
263-1;Takniškiai II
261-1;Takniškių kryžkelė
129-1;Talokai
132-1;Tolkūnai
191-1;TV bokštas Alytaus m.
3835-1;Ūdrija
207-1;Ūkininkų turgus
271-1;Ūta
3830-1;Užubaliai
198-1;Varnagiriai
376-1;Veismūnai
126-1;Vidzgiris
240-1;Žalioji
3823-1;Žiaunieriškiai
3824-1;Žiaunieriškiai I
309-1;"Internatas"
397-1;"Miesto sodas"
3929-1;Alytaus kolonija
125-1;Alytus
3927-1;Alytus (centras)
206-1;Daugų g.
3928-1;Druskininkų g
3928-2;Druskininkų g.
1196-1;Andrioniškis
1032-1;Anykščiai
1025-1;Antrieji Svirnai
1031-1;Ažuožeris
1208-1;Bajorai
1028-1;Bebrūnai
877-1;Biržinė
999-1;Butėnai
1035-1;Čekonys
871-1;Dejūnai
875-1;Desiukiškiai
1189-1;Didžiakaimis
1198-1;Didžiuliškiai
879-1;Diktarai
1033-1;Elmininkai
1193-1;Gražumynas
1344-1;Jackagalys
1345-1;Jackagalys I
1342-1;Juostininkai
1200-1;Jurgiškis
1338-1;Kalnuočiai
1186-1;Karališkis
1337-1;Karčiai
997-1;Katlėriai
1050-1;Kavarskas
998-1;Kiškeliai
878-1;Klevėnai
1041-1;Kraštai
1190-1;Kurkliai
874-1;Kurklių 1 km
1037-1;Leliūnai
2171-1;Levaniškiai
1038-1;Mickūnai
1341-1;Mileikiškiai
876-1;Miškiniškiai
873-1;Moliakalnis
1197-1;Padvaminkai
1335-1;Pagojė
996-1;Pašiliai
1039-1;Pauriškiai
1191-1;Pavirinčiai
1194-1;Puntukas
1346-1;Raguvėlė
1036-1;Rašimai
1024-1;Riklikai
1343-1;Rukiškis
1042-1;Savičiūnai
995-1;Skiemonys
1195-1;Šlavėnai
1192-1;Šližiai
872-1;Staškūniškis
1040-1;Svėdasai
1339-1;Troškūnai
1340-1;Vaidlonys
1030-1;Vaivadiškiai
1199-1;Viešintos
1336-1;Vikonys
1034-1;Vosgėliai
1000-1;Žalioji
1029-1;Zaviesiškis
489-1;"Verknė"
1872-1;Birštonas
525-1;Birštono kalnas
6027-1;Birštono seniūnija
2447-1;Dimšiškės
1795-1;Dzingeliškės
487-1;Geležūnai
1787-1;Geležūnų mokykla
3852-1;Jaunimo g.
488-1;Jundeliškės
1873-1;Kapinės
1789-1;Kernuvė
486-1;Kolupis
1797-1;Matiešionių miškas
1794-1;Matiešionys
1790-1;Naudžiūnai
1791-1;Naudžiūnai 1
1780-1;Nemajūnai
6025-1;Nemajūnai 1
1784-1;Šaltinėnai
1786-1;SB "Šilėnai"
1871-1;Seklytėlė
1783-1;Siponių mokykla
1782-1;Siponys
1781-1;Siponys 1
1870-1;Škėvonys
1792-1;Skriodės
1785-1;Vaitkiškės
1793-1;Žemaitkiemis
1326-1;"Paštas"
1325-1;Beržiniai
1327-1;Biržai
4705-1;Daunoriai
4700-1;Dirvonakiai
4702-1;Geidžiūnai
2240-1;Juodeišiai
2237-1;Kapinės
2239-1;Kirdonys (Biržų r.)
1328-1;Kratiškiai
1323-1;Kučgalys
4701-1;Kuteliai
1322-1;Kvedariškis
4706-1;Meilūnai
1329-1;Mieliūnai
2238-1;Pabiržė
1324-1;Papilys
1331-1;Ramongaliai
4704-1;Sviliai
1330-1;Vabalninkas
4703-1;Zizonys
3859-1;Aidas
3818-1;Ateities stotelė
3820-1;Autobusų stotis
2409-1;Baltašiškė
3870-1;Barzdžiūnai
396-1;Degalinė
3866-1;Degesiai
3875-1;Diržai
2410-1;Druskininkai
3855-1;Druskininkai Akvaparkas
3854-1;Druskininkai Info-taškas
4936-1;Druskininkai sanatorija "Belarus"
4937-1;Druskininkai sanatorija "Draugystė"
4935-1;Druskininkai sanatorija "Grand Spa Lietuva"
4938-1;Druskininkai sanatorija "Saulutė"
4939-1;Druskininkai sanatorija "UPA"
144-1;Druskininkėliai
3820-2;Druskininkų autobusų stotis
3814-1;Eglės sanatorija Druskininkai
3007-1;Gailiūnai
3862-1;Gailiūnai III
3863-1;Gailiūnai V
3849-1;Gailiūnai VI
3008-1;Gailiūnų mokykla
3822-1;Gerdašiai
3858-1;Gimnazija
394-1;Grūtas
3839-1;Grūto parkas
3867-1;Guobiniai
3847-1;Jaskonys I
3861-1;Kalviškės
2450-2;Kaziuliai
3813-1;Laisvės aikštė
694-1;Latežeris
143-1;Leipalingis
3876-1;Lipniūnai
3877-1;Lipniūnų ūkis
3871-1;Margai
142-1;Mažonys
3860-1;Melnyčėlė
2451-2;Mizarai
3874-1;Mizarai I
3819-1;Papartis
3848-1;Raigardas
3815-1;Raigardo muitinė
392-1;Randamonys
395-1;Ratnyčia
362-1;Raudonikiai
3865-1;Ricieliai
145-1;Saltoniškė
361-1;Savanoriai
3846-1;Smiltynų
3864-1;Snaigupė
3850-1;Snow arena
3851-1;Švendubrė
3869-2;Turgus
3873-2;Veršiai
141-1;Vileikiai
3872-1;Zasciūniškės
393-1;Žiogeliai
100-1;Abromiškės
101-1;Ausieniškės
96-1;Dumsis
99-1;Elektrėnai
99-3;
4818-1;Elektrėnų "Ledo rūmai"
5121-1;Elektrėnų centras
97-1;Gilučiai
104-1;Lazdėnai
98-1;Mijaugonys
5125-1;N.Rajonas
5124-1;Pergalės
5123-1;Saulės
103-1;Skirmantiškės
108-1;Strošiūnai
5122-1;Taikos
102-1;Vievis
969-1;Berniūnai
1011-1;Didžiasalis
1014-1;Dūkštas
967-1;Grikiapelė
9952-7;Guntauninkai
976-1;Ignalina
9953-9;Jakeliai
5430-1;Kazitiškis
968-1;Kupriai
965-1;Linkmenys
978-1;Motiejūnai
979-1;Obelų Ragas
966-1;Palūšė
1013-1;Pažemiškis
964-1;Pažiezdris
977-1;Šarkava
963-1;Šiškiniai
1012-1;Sokiškiai
9951-6;Tverečius
55955-3;Žydeliai
71-1;"Centras"Jonavoje
65-1;25- km
67-1;28-km
73-1;AB "Žaizdrė"
1262-1;Akliai
840-1;Bajoriškiai
2110-1;Batėgala
1273-1;Bukonys
68-1;Dumšai
60-1;Girininkai II, Jonavos r.
858-1;Ilgabradai
61-1;Išorai
61-3;Išorų gyvenvietė
898-1;Jadvygava
74-1;Jonalaukis
72-1;Jonava
4812-1;Jonava 1
3938-1;Kalnėnų bendrovė
3939-1;Kalnėnų gel. stotis
3940-1;Kapinės
70-1;Kunigiškiai
857-1;Makštava I
856-1;Makštava II
